conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1947295660333507041,Mon Jul 21 14:37:39 +0000 2025,26,@Gieehad Bisa panjang ini om Tapi sembari buat teman-teman sekalian tau cara bacanya kita ambil contoh table kedua. Yang di bawah ini. Jadi katakan BBCA itu punya weighting/bobot di IHSG sebesar 8 5% dan estimasi rata ID MF di BBCA itu 9.2% artinya ada selisih 0.7% sehingga itu https://t.co/0yxAHraBWn,1947304971621572979,https://pbs.twimg.com/media/GwY3jDYa0AAczZf.jpg,Gieehad,in,,0,1,5,https://x.com/undefined/status/1947304971621572979,111282707,
1947156270647226874,Mon Jul 21 04:56:39 +0000 2025,0,@glennmars Tebakan saya untuk 3 porsi: Rp 22.000. Rincian kasar (harga rata-rata ID 2025): beras 200g ~Rp2.600 ayam 300g ~Rp10.200 timun 240g ~Rp1.900 tauge 150g ~Rp1.100 bawang merah 90g ~Rp4.300 cabai 60g ~Rp2.100. Plus bumbu lain? Berapa yang sebenarnya?,1947158761434644827,,glennmars,in,,0,1,0,https://x.com/undefined/status/1947158761434644827,1720665183188922368,
1946121569996079197,Fri Jul 18 09:26:26 +0000 2025,3,@tanyakanrl eh lu gamau coba https://t.co/DkqrIWhjmq aja apa? bukan behel tapi fungsinya sama kayak behel,1946139490038538679,,tanyakanrl,in,,0,0,0,https://x.com/undefined/status/1946139490038538679,1076917078605479936,
1945323926567149690,Wed Jul 16 03:25:41 +0000 2025,0,Adohhh tolol semua kah 1 keluarga ini udah dibilang jangan ke https://t.co/ju4iQYKydb masih bebal kesana sekarang duitnya udah masuk baru marah2 ya konsekuensi udah dibilangin tetep aja bebal. Sekarang marah2 padahal hasil pilihannya sendiri Pengambilan keputusannya ini tolol,1945323926567149690,,,in,,0,2,0,https://x.com/undefined/status/1945323926567149690,1386428826431811584,
1938598133778506096,Fri Jun 27 14:12:40 +0000 2025,0,@litpeabutt bawahnya pake juga uww dia tuh pake retainer bening yg kyk rata id (tau gk..) tp ada bracesnya juga sjdhsja sangat2 gak common sih di indo https://t.co/xG3TuwevbR,1938601378861215765,https://pbs.twimg.com/media/GudLraBaIAAJFX9.jpg,litpeabutt,in,,0,0,0,https://x.com/undefined/status/1938601378861215765,2726298122,
1929938757521944840,Wed Jun 04 06:55:50 +0000 2025,0,@RkytJlata @officialinews_ Bisa tu https://t.co/agb8pFdFZ6,1930156521780064266,,RkytJlata,in,,0,0,0,https://x.com/undefined/status/1930156521780064266,1098158074940907520,
1915291057077788936,Thu Apr 24 06:25:47 +0000 2025,0,w pake rataid kayaknya abis sampe 15jtaan.,1915291057077788936,,,in,,0,0,0,https://x.com/undefined/status/1915291057077788936,1303891810842861569,
1910234719146635410,Thu Apr 10 07:33:42 +0000 2025,1,ada yang pernah pakek aligner https://t.co/6dGNUhsFXC gak disini?? spill harga dong pas mau pasang dan apakah emg worth it ?,1910234719146635410,,,in,,0,1,0,https://x.com/undefined/status/1910234719146635410,1418780527545360389,
1899500333531124001,Tue Mar 11 16:39:05 +0000 2025,0,Manteman ada yg udah nyoba behel yg bening? Minta review nya dong.. Dr browsing di ig keknya ada beberapa merk ya jd agak bingung.. ada klar ada rata id ada Invisalign dll.. secara harga vs waktu vs kesulitan vs hasil gimana kira2? Makasih sblmnya..,1899500333531124001,,,in,,0,1,0,https://x.com/undefined/status/1899500333531124001,227669145,
1897995740279898286,Fri Mar 07 13:03:15 +0000 2025,0,@worksfess Lagi di proses di rata id ya ka?,1897996469069922355,,worksfess,in,,0,0,0,https://x.com/undefined/status/1897996469069922355,1339279415289659392,
1886365183695880507,Tue Feb 04 15:27:16 +0000 2025,0,@fadiahnajlaa ih tp ini riill tauuu emg rata rata id card tuh gampang kebalik balik apa yaa eh tp malah aku pernah kayak posisi yg ngadep depan tuh malah bagian blkg id card-nya tp pas aku coba pisah sm lanyard trus balikin posisi itu tetep yg di bagian belakang ngadep depan ,1886798687940304950,,fadiahnajlaa,in,,0,1,0,https://x.com/undefined/status/1886798687940304950,1224996159564812288,
1869356372237885703,Wed Dec 18 12:17:44 +0000 2024,17,ini freebies yg masi sisaa tapi engga lengkap cuma ada id photo glitter sticker sama hand mirror aja masi mau ga yaa? nnti aku bagi rata id photo+glitter sticker sama id photo+hand mirror https://t.co/ojfDKBQ0Tb,1869356372237885703,https://pbs.twimg.com/media/GfFJtdNbsAAUskK.jpg,,in,,0,25,0,https://x.com/undefined/status/1869356372237885703,1327261635954688001,
1857231076659548362,Fri Nov 15 01:16:09 +0000 2024,0,guys disini ada yang pernah pasang behel di gaia pdg! berapa ya kira2 budgetnya? atau ada yang pernah pake aligner rata. id? terimakasih,1857231076659548362,,,in,,0,1,0,https://x.com/undefined/status/1857231076659548362,1162174804893433860,
1856509190774390910,Wed Nov 13 02:47:51 +0000 2024,0,Jadi hati2 aja deh kalau mau treatment di https://t.co/5Zty1bjtoz di google juga udah banyak review jeleknya,1856529379557617756,,callmetiw,in,,0,0,0,https://x.com/undefined/status/1856529379557617756,2276962087,
1856509190774390910,Wed Nov 13 01:27:38 +0000 2024,3,Kelakuan bisnis start up atas nama https://t.co/Vt4636zZBb giliran minta refund responnya lamaa bangett https://t.co/qG7XuUQXAz,1856509190774390910,https://pbs.twimg.com/media/GcOlQ42asAEga2q.jpg,,in,,0,1,0,https://x.com/undefined/status/1856509190774390910,2276962087,
1811323851160051833,Thu Jul 11 08:57:13 +0000 2024,1,Gue barusan memutuskan untuk beli aligner https://t.co/jDG0CLFN2z dan mau ceritain pengalaman gue disini. Disclaimer: ini pengalaman pribadi 100% real dan gue cuma berbagi cerita. Tidak ada niat lain selain berbagi perngalaman sebagai customer. Baiklah mari kita mulai.,1811323851160051833,,,in,,0,2,0,https://x.com/undefined/status/1811323851160051833,1398913648341372930,
1810187570418262037,Mon Jul 08 11:45:38 +0000 2024,0,@tokotanX Iya lg si rata id itu di iklan2nya slalu ngebandingin lgsg sm hasil dr behel gtu soale Aku kekny dlm waktu deket bkl pasang behel si kak td kepikiran aj gr2 tb2 lwt iklannya ,1810279071257071731,,tokotanX,in,,0,1,0,https://x.com/undefined/status/1810279071257071731,1135894700181794818,
